Time,Current,Velocity
1628271738.10,-3,0
1628271738.12,0,0
1628271738.14,0,0
1628271738.16,0,0
1628271738.18,0,0
1628271738.20,0,0
1628271738.22,-2,0
1628271738.24,0,0
1628271738.26,0,0
1628271738.28,0,0
1628271738.30,0,0
1628271738.32,0,0
1628271738.34,0,0
1628271738.36,0,0
1628271738.38,0,0
1628271738.40,0,0
1628271738.42,-2,0
1628271738.44,0,0
1628271738.46,0,0
1628271738.48,0,0
1628271738.50,-3,0
1628271738.52,0,0
1628271738.54,0,0
1628271738.56,-2,0
1628271738.58,0,0
1628271738.60,0,0
1628271738.62,0,0
1628271738.64,0,0
1628271738.66,-2,0
1628271738.68,-2,0
1628271738.70,0,0
1628271738.72,0,0
1628271738.74,0,0
1628271738.76,-2,0
1628271738.78,0,0
1628271738.80,-2,0
1628271738.82,0,0
1628271738.84,0,0
1628271738.86,0,0
1628271738.88,0,0
1628271738.90,0,0
1628271738.92,0,0
1628271738.94,0,0
1628271738.96,-2,0
1628271738.98,0,0
1628271739.00,-2,0
1628271739.02,0,0
1628271739.04,0,0
1628271739.06,-2,0
1628271739.08,0,0
1628271739.10,0,0
1628271739.12,0,0
1628271739.14,-2,0
1628271739.16,-2,0
1628271739.18,0,0
1628271739.20,0,0
1628271739.22,0,0
1628271739.24,0,0
1628271739.26,0,0
1628271739.28,-2,0
1628271739.30,0,0
1628271739.32,0,0
1628271739.34,0,0
1628271739.36,-2,0
1628271739.38,0,0
1628271739.40,0,0
1628271739.42,0,0
1628271739.44,0,0
1628271739.46,-2,0
1628271739.48,0,0
1628271739.50,0,0
1628271739.52,0,0
1628271739.54,0,0
1628271739.56,0,0
1628271739.58,0,0
1628271739.60,0,0
1628271739.62,0,0
1628271739.64,0,0
1628271739.66,0,0
1628271739.68,0,0
1628271739.70,0,0
1628271739.72,0,0
1628271739.74,0,0
1628271739.76,-2,0
1628271739.78,2,0
1628271739.80,2,0
1628271739.82,0,0
1628271739.84,0,0
1628271739.86,-2,0
1628271739.88,0,0
1628271739.90,0,0
1628271739.92,0,0
1628271739.94,0,0
1628271739.96,-2,0
1628271739.98,-2,0
1628271740.00,-2,0
1628271740.02,2,0
1628271740.04,0,0
1628271740.06,0,0
1628271740.08,0,0
1628271740.10,0,0
1628271740.12,0,0
1628271740.14,-2,0
1628271740.16,0,0
1628271740.18,0,0
1628271740.20,2,0
1628271740.22,0,0
1628271740.24,0,0
1628271740.26,0,0
1628271740.28,0,0
1628271740.30,0,0
1628271740.32,0,0
1628271740.34,0,0
1628271740.36,0,0
1628271740.38,0,0
1628271740.40,0,0
1628271740.42,0,0
1628271740.44,0,0
1628271740.46,-2,0
1628271740.48,0,0
1628271740.50,0,0
1628271740.52,0,0
1628271740.54,-2,0
1628271740.56,0,0
1628271740.58,0,0
1628271740.60,0,0
1628271740.62,0,0
1628271740.64,0,0
1628271740.66,0,0
1628271740.68,0,0
1628271740.70,0,0
1628271740.72,2,0
1628271740.74,0,0
1628271740.76,0,0
1628271740.78,0,0
1628271740.80,0,0
1628271740.82,0,0
1628271740.84,0,0
1628271740.86,0,0
1628271740.88,0,0
1628271740.90,0,0
1628271740.92,0,0
1628271740.94,0,0
1628271740.96,0,0
1628271740.98,0,0
1628271741.00,0,0
1628271741.02,0,0
1628271741.04,0,0
1628271741.06,0,0
1628271741.08,0,0
1628271741.10,0,0
1628271741.12,-2,0
1628271741.14,0,0
1628271741.16,-2,0
1628271741.18,0,0
1628271741.20,0,0
1628271741.22,0,0
1628271741.24,0,0
1628271741.26,2,0
1628271741.28,0,0
1628271741.30,0,0
1628271741.32,0,0
1628271741.34,0,0
1628271741.36,0,0
1628271741.38,0,0
1628271741.40,0,0
1628271741.42,0,0
1628271741.44,0,0
1628271741.46,-2,0
1628271741.48,-3,0
1628271741.50,0,0
1628271741.52,0,0
1628271741.54,0,0
1628271741.56,0,0
1628271741.58,0,0
1628271741.60,0,0
1628271741.62,-2,0
1628271741.64,0,0
1628271741.66,0,0
1628271741.68,0,0
1628271741.70,0,0
1628271741.72,0,0
1628271741.74,0,0
1628271741.76,0,0
1628271741.78,0,0
1628271741.80,0,0
1628271741.82,-2,0
1628271741.84,2,0
1628271741.86,0,0
1628271741.88,0,0
1628271741.90,0,0
1628271741.92,-2,0
1628271741.94,0,0
1628271741.96,0,0
1628271741.98,0,0
1628271742.00,0,0
1628271742.02,0,0
1628271742.04,0,0
1628271742.06,-2,0
1628271742.08,0,0
1628271742.10,0,0
1628271742.12,-2,0
1628271742.14,0,0
1628271742.16,0,0
1628271742.18,0,0
1628271742.20,0,0
1628271742.22,0,0
1628271742.24,0,0
1628271742.26,2,0
1628271742.28,0,0
1628271742.30,0,0
1628271742.32,0,0
1628271742.34,0,0
1628271742.36,2,0
1628271742.38,0,0
1628271742.40,0,0
1628271742.42,2,0
1628271742.44,0,0
1628271742.46,-3,0
1628271742.48,0,0
1628271742.50,0,0
1628271742.52,-2,0
1628271742.54,0,0
1628271742.56,0,0
1628271742.58,0,0
1628271742.60,-2,0
1628271742.62,0,0
1628271742.64,0,0
1628271742.66,0,0
1628271742.68,0,0
1628271742.70,-2,0
1628271742.72,0,0
1628271742.74,0,0
1628271742.76,0,0
1628271742.78,0,0
1628271742.80,0,0
1628271742.82,0,0
1628271742.84,-2,0
1628271742.86,0,0
1628271742.88,0,0
1628271742.90,0,0
