Time,Torque,Temp_1,Temp_2
1628271727.63, 17.00,74.25,74.04
1628271727.68, 17.00,74.27,74.02
1628271727.72, 17.00,74.26,74.02
1628271727.76, 17.00,74.26,74.03
1628271727.80, 17.00,74.26,74.03
1628271727.85, 17.00,74.27,74.02
1628271727.89, 17.00,74.26,74.00
1628271727.93, 17.00,74.25,74.02
1628271727.98, 17.00,74.27,74.03
1628271728.02, 17.00,74.25,74.03
1628271728.07, 17.00,74.26,74.02
1628271728.11, 17.00,74.26,74.02
1628271728.15, 17.00,74.27,74.01
1628271728.20, 17.00,74.26,74.02
1628271728.24, 17.00,74.25,74.01
1628271728.28, 17.00,74.25,74.02
1628271728.33, 17.00,74.25,74.04
1628271728.37, 17.00,74.26,74.02
1628271728.42, 17.00,74.26,74.04
1628271728.46, 17.00,74.25,74.03
1628271728.50, 17.00,74.26,74.03
1628271728.55, 17.00,74.28,74.03
1628271728.59, 17.00,74.27,74.03
1628271728.64, 17.00,74.27,74.02
1628271728.68, 17.00,74.27,74.03
1628271728.72, 17.00,74.26,74.03
1628271728.77, 17.00,74.26,74.04
1628271728.81, 17.00,74.26,74.04
1628271728.85, 17.00,74.26,74.03
1628271728.90, 17.00,74.26,74.04
1628271728.94, 17.00,74.26,74.03
1628271728.99, 17.00,74.25,74.03
1628271729.03, 17.00,74.25,74.04
1628271729.08, 17.00,74.26,74.03
1628271729.12, 17.00,74.26,74.04
1628271729.17, 17.00,74.28,74.04
1628271729.21, 17.00,74.28,74.03
1628271729.25, 17.00,74.27,74.03
1628271729.30, 17.00,74.27,74.03
1628271729.34, 17.00,74.27,74.02
1628271729.39, 17.00,74.26,74.03
1628271729.43, 17.00,74.27,74.02
1628271729.47, 17.00,74.26,74.03
1628271729.52, 17.00,74.27,74.02
1628271729.56, 17.00,74.27,74.01
1628271729.60, 17.00,74.26,74.03
1628271729.65, 17.00,74.27,74.03
1628271729.69, 17.00,74.26,74.03
1628271729.74, 17.00,74.27,74.02
1628271729.78, 17.00,74.27,74.02
1628271729.82, 17.00,74.26,74.03
1628271729.87, 17.00,74.26,74.03
1628271729.91, 17.00,74.26,74.03
1628271729.96, 17.00,74.25,74.03
1628271730.00, 17.00,74.26,74.04
1628271730.04, 17.00,74.26,74.03
1628271730.09, 17.00,74.26,74.04
1628271730.13, 17.00,74.25,74.03
1628271730.18, 17.00,74.27,74.02
1628271730.22, 17.00,74.26,74.02
1628271730.26, 17.00,74.26,74.02
1628271730.31, 17.00,74.25,74.03
1628271730.35, 17.00,74.28,74.02
1628271730.39, 17.00,74.26,74.03
1628271730.44, 17.00,74.26,74.04
1628271730.48, 17.00,74.27,74.03
1628271730.53, 17.00,74.26,74.05
1628271730.57, 17.00,74.26,74.02
1628271730.62, 17.00,74.26,74.02
1628271730.66, 17.00,74.25,74.00
1628271730.70, 17.00,74.26,74.04
1628271730.74, 17.00,74.26,74.01
1628271730.78, 17.00,74.26,74.04
1628271730.83, 17.00,74.27,74.02
1628271730.87, 17.00,74.26,74.03
1628271730.91, 17.00,74.25,74.03
1628271730.96, 17.00,74.25,74.03
1628271731.00, 17.00,74.27,74.02
1628271731.04, 17.00,74.25,74.00
1628271731.09, 17.00,74.26,74.03
1628271731.13, 17.00,74.27,74.03
1628271731.17, 17.00,74.26,74.02
1628271731.22, 17.00,74.25,74.03
1628271731.26, 17.00,74.28,74.02
1628271731.30, 17.00,74.27,74.05
1628271731.35, 17.00,74.26,74.04
1628271731.39, 17.00,74.26,74.03
1628271731.43, 17.00,74.26,74.04
1628271731.48, 17.00,74.26,74.03
1628271731.52, 17.00,74.26,74.03
1628271731.57, 17.00,74.29,74.01
1628271731.61, 17.00,74.28,74.01
1628271731.65, 17.00,74.26,74.04
1628271731.69, 17.00,74.25,74.00
1628271731.74, 17.00,74.26,74.03
1628271731.78, 17.00,74.26,74.04
1628271731.82, 17.00,74.26,74.01
1628271731.86, 17.00,74.26,74.03
1628271731.91, 17.00,74.25,74.03
1628271731.95, 17.00,74.26,74.01
1628271731.99, 17.00,74.26,74.04
1628271732.03, 17.00,74.26,74.02
1628271732.08, 17.00,74.27,74.02
1628271732.12, 17.00,74.27,74.05
1628271732.16, 17.00,74.28,74.04
1628271732.21, 17.00,74.27,74.04
1628271732.25, 17.00,74.27,74.03
1628271732.29, 17.00,74.26,74.05
1628271732.33, 17.00,74.27,74.03
1628271732.37, 17.00,74.26,74.04
1628271732.41, 17.00,74.26,74.02
1628271732.46, 17.00,74.27,74.02
1628271732.50, 17.00,74.27,74.02
1628271732.54, 17.00,74.26,74.04
1628271732.58, 17.00,74.28,74.02
1628271732.62, 17.00,74.26,74.03
1628271732.66, 17.00,74.27,74.03
1628271732.71, 17.00,74.26,74.04
1628271732.75, 17.00,74.27,74.03
1628271732.79, 17.00,74.28,74.02
1628271732.84, 17.00,74.28,74.03
1628271732.88, 17.00,74.27,74.05
1628271732.92, 17.00,74.27,74.04
1628271732.97, 17.00,74.27,74.02
1628271733.01, 17.00,74.27,74.02
1628271733.05, 17.00,74.28,74.03
1628271733.10, 17.00,74.27,74.05
1628271733.14, 17.00,74.26,74.04
1628271733.19, 17.00,74.26,74.05
1628271733.23, 17.00,74.28,74.03
1628271733.27, 17.00,74.26,74.03
1628271733.31, 17.00,74.27,74.03
1628271733.36, 17.00,74.27,74.05
1628271733.40, 17.00,74.27,74.03
1628271733.44, 17.00,74.27,74.03
1628271733.49, 17.00,74.28,74.01
1628271733.53, 17.00,74.27,74.03
1628271733.57, 17.00,74.26,74.03
1628271733.62, 17.00,74.26,74.04
1628271733.66, 17.00,74.28,74.04
1628271733.71, 17.00,74.27,74.03
1628271733.75, 17.00,74.29,74.02
1628271733.79, 17.00,74.26,74.04
1628271733.83, 17.00,74.27,74.04
1628271733.88, 17.00,74.26,74.03
1628271733.92, 17.00,74.26,74.02
1628271733.96, 17.00,74.27,74.03
1628271734.01, 17.00,74.26,74.02
1628271734.05, 17.00,74.27,74.02
1628271734.09, 17.00,74.28,74.02
1628271734.14, 17.00,74.27,74.04
1628271734.18, 17.00,74.26,74.02
1628271734.22, 17.00,74.26,74.04
1628271734.27, 17.00,74.27,74.05
1628271734.31, 17.00,74.26,74.03
1628271734.36, 17.00,74.26,74.02
1628271734.40, 17.00,74.26,74.03
1628271734.45, 17.00,74.26,74.01
1628271734.49, 17.00,74.26,74.01
1628271734.53, 17.00,74.26,74.03
1628271734.57, 17.00,74.27,74.02
1628271734.61, 17.00,74.26,74.03
1628271734.65, 17.00,74.26,74.01
1628271734.70, 17.00,74.25,74.04
1628271734.74, 17.00,74.25,74.02
1628271734.78, 17.00,74.26,74.02
1628271734.82, 17.00,74.26,74.03
1628271734.87, 17.00,74.27,74.00
1628271734.91, 17.00,74.27,74.01
1628271734.95, 17.00,74.25,74.02
1628271734.99, 17.00,74.26,74.01
1628271735.04, 17.00,74.27,74.01
1628271735.08, 17.00,74.26,74.04
1628271735.12, 17.00,74.27,74.03
1628271735.17, 17.00,74.27,74.01
1628271735.21, 17.00,74.28,74.03
1628271735.25, 17.00,74.27,74.05
1628271735.30, 17.00,74.27,74.02
1628271735.34, 17.00,74.27,74.04
1628271735.38, 17.00,74.27,74.03
1628271735.42, 17.00,74.27,74.04
1628271735.46, 17.00,74.27,74.02
1628271735.50, 17.00,74.28,74.04
1628271735.55, 17.00,74.28,74.04
1628271735.59, 17.00,74.27,74.02
1628271735.63, 17.00,74.26,74.04
1628271735.67, 17.00,74.27,74.05
1628271735.71, 17.00,74.27,74.03
1628271735.76, 17.00,74.27,74.03
1628271735.80, 17.00,74.27,74.03
1628271735.84, 17.00,74.29,74.03
1628271735.88, 17.00,74.28,74.03
1628271735.93, 17.00,74.28,74.03
1628271735.97, 17.00,74.26,74.06
1628271736.01, 17.00,74.27,74.03
1628271736.05, 17.00,74.29,74.03
1628271736.10, 17.00,74.27,74.05
1628271736.14, 17.00,74.27,74.03
1628271736.18, 17.00,74.30,74.02
1628271736.23, 17.00,74.28,74.02
1628271736.27, 17.00,74.27,74.04
1628271736.31, 17.00,74.26,74.00
1628271736.35, 17.00,74.27,74.04
1628271736.40, 17.00,74.27,74.04
1628271736.44, 17.00,74.26,74.03
1628271736.49, 17.00,74.27,74.04
1628271736.53, 17.00,74.27,74.02
1628271736.57, 17.00,74.27,74.01
1628271736.62, 17.00,74.27,74.03
1628271736.66, 17.00,74.25,74.03
1628271736.70, 17.00,74.26,74.02
1628271736.75, 17.00,74.27,74.01
1628271736.79, 17.00,74.27,74.03
1628271736.83, 17.00,74.27,74.02
1628271736.88, 17.00,74.26,74.02
1628271736.92, 17.00,74.26,74.01
1628271736.97, 17.00,74.28,74.03
1628271737.01, 17.00,74.26,74.03
1628271737.05, 17.00,74.26,74.03
1628271737.10, 17.00,74.27,74.02
1628271737.14, 17.00,74.27,74.02
1628271737.19, 17.00,74.26,74.03
1628271737.23, 17.00,74.25,74.03
1628271737.28, 17.00,74.26,74.02
1628271737.32, 17.00,74.26,74.03
1628271737.36, 17.00,74.26,74.02
1628271737.41, 17.00,74.25,74.02
1628271737.45, 17.00,74.27,74.02
1628271737.50, 17.00,74.27,74.02
1628271737.54, 17.00,74.27,74.02
